ruta,km,minutos
124-3,5.911,18.4833333333333
124-4,9.205,24.95
125-1,24.236,33.4333333333333
125-2,11.166,30.25
126-1,22.143,52.4666666666667
127-2,133.654,176.216666666667
128-1,176.758,238.65
129-1,33.686,80.5
129-2,10.673,28.95
13-2,265.62,381.116666666667
130-1,52.312,134.883333333333
130-2,43.602,104.316666666667
131-1,45.157,145.316666666667
131-2,28.54,87.7833333333333
132-1,22.081,60.2
132-10,10.839,35.7833333333333
132-3,8.171,27.7166666666667
132-4,7.713,27.95
132-5,6.481,22.3166666666667
132-6,6.497,24.9166666666667
132-7,6.133,25.7666666666667
132-8,5.636,21.4833333333333
132-9,7.253,22.45
