ruta,km,minutos
119-2,22.767,70.7333333333333
119-3,8.346,31.4333333333333
119-4,16.018,51.85
119-5,10.193,31.2833333333333
119-6,19.209,45.5
119-7,9.261,34.1
119-8,15.103,48.5166666666667
12-2,105.133,156.966666666667
12-3,163.795,245.183333333333
12-4,296.361,408.95
120-1,2.895,9.85
120-2,72.287,63.4666666666667
121-1,51.533,80.9666666666667
121-2,38.635,52.9166666666667
123-1,29.87,60.1166666666667
123-2,30.703,64.7333333333333
123-3,8.724,23.6166666666667
124-2,5.875,15.5333333333333
