ruta,km,minutos
23-1,408.8,531.95
24-1,451.675,671.166666666667
25-1,412.451,680.35
25-3,112.751,147.566666666667
26-1,215.49,287.633333333333
26-2,160.858,196.783333333333
27-1,163.297,256.016666666667
27-2,151.206,248.55
27-3,242.963,339.1
28-1,157.648,256.583333333333
28-4,191.302,317.016666666667
29-1,97.722,155.816666666667
29-2,83.083,130.116666666667
3-2,204.716,284.833333333333
30-1,29.05,67.4833333333333
30-2,20.323,62.4166666666667
30-3,15.907,47.0833333333333
30-4,18.318,54.9166666666667
30-5,20.923,64.8333333333333
31-1,160.357,219.633333333333
31-2,51.747,74.4833333333333
32-1,12.859,46.7666666666667
32-10,10.232,37.3
32-11,28.404,48.5833333333333
32-12,7.449,22.9833333333333
32-2,9.342,28.65
32-3,6.087,23.4166666666667
32-4,10.588,36.3666666666667
32-5,15.513,46.7166666666667
32-6,11.496,32.6333333333333
32-7,7.423,26.6
32-8,13.03,42.65
32-9,8.796,26.4333333333333
33-1,63.825,94.0833333333333
33-3,104.064,101.916666666667
34-1,410.696,648.866666666667
35-1,35.774,47.5833333333333
35-2,70.495,92.05
36-1,156.599,227.55
36-2,5.697,17.1666666666667
38-2,399.725,565.533333333333
4-1,21.578,65.4833333333333
4-10,12.829,40.95
4-11,12.101,36.7333333333333
4-12,19.327,62.5666666666667
4-2,9.149,28.2166666666667
4-3,19.685,68.7
4-4,15.916,47.8333333333333
4-5,6.418,18.4833333333333
4-6,8.554,23.8
4-7,8.984,26.2166666666667
4-8,10.912,32.2333333333333
4-9,7.874,24.65
40-2,317.494,421.783333333333
41-1,37.091,67.6333333333334
41-2,202.255,292.233333333333
42-1,203.714,257.8
43-1,58.165,81.35
43-10,42.402,71.3333333333333
43-11,142.921,254.916666666667
43-12,27.017,64.7
43-2,14.688,41.6166666666667
43-3,19.976,69.2
43-4,11.904,33.75
43-5,14.483,37.5333333333333
43-6,15.67,44.9333333333333
43-7,14.761,43.1
43-8,13.181,42.4333333333333
43-9,14.538,38.7
44-1,23.51,57.05
44-2,63.224,77.5166666666667
44-3,13.872,44.9833333333333
44-4,39.797,84.3833333333333
45-1,13.06,44.1666666666667
45-2,12.733,41.5833333333333
45-3,17.68,54.5
45-4,12.582,40.2666666666667
45-5,22.703,76.3333333333333
45-6,25.876,93.95
47-1,16.424,46.4333333333333
47-2,56.448,97.5666666666667
47-3,128.958,160.366666666667
47-4,52.265,98.8833333333334
48-1,94.818,103.533333333333
48-2,166.008,270.166666666667
49-1,375.755,557.15
49-2,350.001,470.616666666667
5-1,10.198,34.4
5-2,16.759,63.5666666666667
5-3,15.856,51.8666666666667
5-4,6.866,22.1833333333333
5-5,19.784,65.4666666666667
5-6,8.794,28.4666666666667
5-7,18.385,56.3333333333333
50-1,355.09,473.733333333333
