ruta,km,minutos
54-1,284.704,372.2
55-1,15.278,48.8
55-2,22.577,78.7166666666667
55-3,15.593,46.8166666666667
55-4,39.35,96.0333333333333
55-5,29.416,94.0833333333333
55-6,10.928,36.8833333333333
56-1,484.339,716.283333333333
58-1,133.608,186.4
58-2,55.312,71.7666666666667
59-1,158.862,215.583333333333
59-2,252.206,338.383333333333
59-5,345.088,490.666666666667
6-1,212.177,267.533333333333
6-3,437.245,675.15
60-2,299.426,337.95
60-3,264.226,318.316666666667
61-1,47.23,78.7333333333333
61-2,76.95,93.4833333333333
61-3,189.358,278.733333333333
62-1,5.654,20.0333333333333
62-10,5.936,17.2166666666667
62-11,7.046,23.75
62-12,9.352,26.9666666666667
62-13,1.023,5.53333333333333
62-14,6.146,19.45
62-15,9.512,36.3833333333333
62-16,2.851,10.3333333333333
62-17,10.083,42.8666666666667
62-18,10.772,36.6166666666667
62-19,8.345,28.0833333333333
62-2,4.864,13.9666666666667
62-20,7.126,23.2666666666667
62-21,4.594,13.9833333333333
62-23,5.016,20.45
62-24,9.94,30.9333333333333
62-4,6.864,29.6333333333333
62-7,4.106,14.8833333333333
62-8,11.007,32.5166666666667
62-9,6.485,19.5666666666667
63-2,121.239,157.316666666667
