ruta,km,minutos
64-1,195.854,271
64-2,19.893,44.05
64-3,70.83,80.2333333333333
65-2,313.966,465.166666666667
66-1,58.393,53.0166666666667
66-2,177.763,275.566666666667
67-2,4.802,13.9
67-3,94.642,137.2
67-4,61.267,124.4
68-1,144.91,170.316666666667
68-2,222.014,282.266666666667
69-1,13.427,46.8166666666667
69-10,8.813,28.6333333333333
69-11,14.099,46.9666666666667
69-12,7.757,21.95
69-13,11.707,34.4833333333333
69-14,10.156,27.95
69-16,5.999,21.25
69-17,5.449,19.4666666666667
69-18,10.181,33.55
69-19,9.178,30.5166666666667
69-2,9.149,28.65
69-20,12.563,43.3166666666667
69-22,13.933,51.2833333333333
69-23,16.019,52.8
69-24,7.184,24.8
69-25,8.664,27.2833333333333
69-26,7.645,25.6166666666667
69-27,5.851,21.5166666666667
69-28,12.6,45.35
69-29,26.707,55.55
69-3,7.982,29.5833333333333
69-30,10.849,35.75
69-31,15.484,48.1333333333333
69-32,9.536,30.55
69-4,7.084,21.6666666666667
69-6,7.292,24.5
69-7,11.411,34.3
69-8,13.839,44.1
69-9,33.568,86.0166666666667
7-1,171.798,183.35
7-2,210.716,307.033333333333
7-3,119.87,151.433333333333
7-4,223.968,296.816666666667
70-1,13.213,44.85
70-2,108.525,161.166666666667
70-4,101.779,175.983333333333
71-1,18.373,64.1
71-10,10.466,37.4666666666667
71-11,5.062,18.1333333333333
71-12,4.763,16.6333333333333
71-13,5.892,19.9333333333333
71-2,5.95,21.3833333333333
71-3,15.753,55.4833333333333
71-4,14.818,36.3666666666667
71-5,12.725,34.6666666666667
71-6,10.384,32.1666666666667
71-7,27.207,73.3166666666667
71-8,11.476,37.0833333333333
71-9,16.08,51.1666666666667
72-1,131.929,156.3
72-2,111.914,149.216666666667
73-1,9.715,38.5166666666667
73-10,13.845,52.5333333333333
73-11,11.392,43.85
73-12,6.224,32.4
73-13,15.797,51.1333333333333
73-2,11.95,32.75
73-3,16.59,63.25
73-4,205.257,170.733333333333
73-5,16.134,60.7
73-6,19.884,69.6833333333333
73-7,22.392,60.9333333333333
73-9,17.915,65.9666666666667
74-2,271.313,398.25
75-4,33.452,79.7666666666667
75-5,364.584,525.483333333333
76-1,96.248,134.466666666667
76-2,220.094,310.416666666667
76-3,222.783,268.45
77-1,17.398,49.4333333333333
77-2,106.482,126.966666666667
77-3,1.543,4.81666666666667
77-4,429.723,654.4
77-5,22.662,41.2666666666667
77-6,160.136,259.933333333333
77-7,22.855,31.8
77-8,49.477,86.5333333333333
78-1,34.408,50.1666666666667
78-2,135.268,229.066666666667
