ruta,km,minutos
133-3,28.172,86.2833333333333
134-2,262.229,290.433333333333
135-1,9.185,29.65
135-2,17.369,49.9333333333333
135-3,7.406,24.0666666666667
135-4,14.199,48.0666666666667
136-1,15.608,42.4833333333333
136-2,18.447,56.2166666666667
136-3,22.547,71.1666666666667
14-1,50.728,101.5
14-3,187.875,257.433333333333
15-1,210.209,341.6
15-2,62.411,143.35
15-3,92.563,230.966666666667
15-5,26.189,50.4666666666667
16-1,148.698,274.533333333333
16-2,68.58,92.9666666666667
16-3,5.44,14.2833333333333
