ruta,km,minutos
78-3,452.782,622.733333333333
79-1,167.122,183.516666666667
79-3,65.28,102.583333333333
79-4,350.87,407.616666666667
8-1,24.348,60.2166666666667
8-2,16.255,51.5
8-3,107.184,104.833333333333
8-4,22.435,66.2166666666667
8-5,41.545,79.95
8-7,61.598,154.1
8-8,31.411,85.6
81-1,157.036,182.4
81-2,157.982,187.816666666667
81-4,194.965,293.933333333333
83-1,38.271,104.216666666667
83-2,42.425,78.6833333333333
83-3,10.421,31.45
83-4,22.705,62.4666666666667
83-6,3.367,13.6833333333333
83-7,12.16,41.9166666666667
83-8,15.955,59.4166666666667
83-9,21.05,66.95
84-1,237.576,247.166666666667
84-2,193.27,196.683333333333
85-1,2.421,8.13333333333333
85-10,10.461,34.4333333333333
85-11,9.386,26.5
85-12,9.955,30.7333333333333
85-13,8.329,23.4166666666667
85-14,3.6,14.5333333333333
85-15,19.791,63.5
85-16,12.829,37.9833333333333
85-17,7.304,24.9166666666667
85-2,8.826,28.1166666666667
85-3,7.153,28.5166666666667
85-4,15.422,50.2
85-5,13.991,40.3833333333333
85-6,4.465,16.6833333333333
85-7,14.653,51.9
85-8,8.766,24.5833333333333
85-9,5.373,16.5166666666667
86-1,47.807,89.0333333333333
86-2,182.843,216.75
86-3,29.922,51
87-2,392.943,496.083333333333
88-2,330.916,492.25
89-3,265.028,381.866666666667
9-1,272.856,510.25
9-2,133.142,182.366666666667
9-3,104.84,149.316666666667
90-1,245.775,354.966666666667
91-1,372.584,515.9
92-2,486.829,659.283333333333
93-1,129.446,187.816666666667
93-2,65.347,103.316666666667
93-3,69.721,119.666666666667
94-1,126.948,196.666666666667
94-2,61.031,79.5666666666667
95-1,9.85,33.8166666666667
95-2,5.522,17.1
95-3,7,26.2
