ruta,km,minutos
137-1,84.06,121.533333333333
137-2,35.987,49.0666666666667
37-1,162.699,270.383333333333
37-2,193.921,201.95
39-1,131.464,148.716666666667
39-2,208.126,209.983333333333
57-1,98.87,137.2
57-2,72.315,110.3
80-1,97.428,160.233333333333
80-2,25.551,70.9666666666667
82-1,176.092,232.3
82-2,241.59,458.45
