ruta,km,minutos
107-3,220.218,300.783333333333
107-4,225.448,268.033333333333
108-2,451.587,674.8
108-3,41.274,48.2166666666667
108-4,85.606,132.35
109-1,29.629,101.85
109-2,29.306,107.533333333333
11-1,106.565,153.533333333333
11-2,75.243,98.5666666666667
110-2,154.163,218.866666666667
110-3,279.639,361.5
110-4,294.945,525.75
111-1,15.023,47.25
111-2,4.462,14.7666666666667
111-3,9.077,27.3166666666667
111-4,16.957,59.0833333333333
111-5,10.173,30.9833333333333
111-6,9.294,33.1333333333333
111-7,23.491,85.7
