"","municipio_sae","clave_provincial","municipio_code","number_mun_code","municipio","tipo","rama","escuela","number_escuela","cue","cs","dmclc","dmc","cupo_total","long","lat","ubicacion_cue","zona","cupo","clusters","clusters_2","cluster_asignado_2","muni_cluster"
"119","PILA","0082JS0002","82","2","PILA","INICIAL Y PRIMARIA","JS","2","1","621619","0","0","4","4",-58.29600502,-36.41326835,"Rural Disperso","Rural","1195","2","2",2,"82-2"
"120","PILA","0082JS0003","82","2","PILA","INICIAL Y PRIMARIA","JS","3","1","621671","0","0","6","6",-58.55006898,-36.31670158,"Rural Agrupado","Rural","1195","2","2",2,"82-2"
"121","PILA","0082JS0004","82","2","PILA","INICIAL Y PRIMARIA","JS","4","1","620663","0","0","4","4",-58.41023916,-35.99766098,"Rural Disperso","Rural","1195","2","2",1,"82-1"
"122","PILA","0082JS0005","82","2","PILA","INICIAL Y PRIMARIA","JS","5","1","621820","0","0","6","6",-58.73753831,-36.06058804,"Rural Disperso","Rural","1195","2","2",2,"82-2"
"123","PILA","0082JS0006","82","2","PILA","INICIAL Y PRIMARIA","JS","6","1","621976","0","0","5","5",-58.24429675,-36.14856243,"Rural Disperso","Rural","1195","2","2",1,"82-1"
"124","PILA","0082PP0002","82","2","PILA","INICIAL Y PRIMARIA","PP","2","1","622118","0","0","168","168",-58.16230598,-35.90902427,"Rural Disperso","Rural","1195","2","2",1,"82-1"
"125","PILA","0082PP0003","82","2","PILA","INICIAL Y PRIMARIA","PP","3","1","604927","0","0","2","2",-58.14188934,-36.0047728,"Urbano","Urbano","1195","2","2",1,"82-1"
"126","PILA","0082PP0005","82","2","PILA","INICIAL Y PRIMARIA","PP","5","1","605326","25","0","25","50",-58.68579459,-36.15008569,"Rural Disperso","Rural","1195","2","2",2,"82-2"
"127","PILA","0082PP0006","82","2","PILA","INICIAL Y PRIMARIA","PP","6","1","605328","0","0","5","5",-58.55009296,-36.31674823,"Rural Agrupado","Rural","1195","2","2",2,"82-2"
"128","PILA","0082PP0008","82","2","PILA","INICIAL Y PRIMARIA","PP","8","1","605329","0","0","6","6",-58.16254313,-35.90910331,"Rural Disperso","Rural","1195","2","2",1,"82-1"
"129","PILA","0082PP0009","82","2","PILA","INICIAL Y PRIMARIA","PP","9","1","605332","0","0","7","7",-58.58190079,-36.17656534,"Rural Disperso","Rural","1195","2","2",2,"82-2"
"130","PILA","0082PP0010","82","2","PILA","INICIAL Y PRIMARIA","PP","10","2","605331","0","0","1","1",-58.29602834,-36.41326991,"Rural Disperso","Rural","1195","2","2",2,"82-2"
"131","PILA","0082PP0011","82","2","PILA","INICIAL Y PRIMARIA","PP","11","2","605330","0","0","8","8",-58.09749279,-36.30182937,"Rural Disperso","Rural","1195","2","2",1,"82-1"
"132","PILA","0082PP0012","82","2","PILA","INICIAL Y PRIMARIA","PP","12","2","604928","0","0","120","120",-58.73771847,-36.06033958,"Rural Disperso","Rural","1195","2","2",2,"82-2"
"133","PILA","0082PP0013","82","2","PILA","INICIAL Y PRIMARIA","PP","13","2","611801","0","0","3","3",-58.15035579,-35.99710115,"Urbano","Urbano","1195","2","2",1,"82-1"
"134","PILA","0082PP0014","82","2","PILA","INICIAL Y PRIMARIA","PP","14","2","602748","0","0","5","5",-58.09289217,-36.10120977,"Rural Disperso","Rural","1195","2","2",1,"82-1"
"135","PILA","0082PP0015","82","2","PILA","INICIAL Y PRIMARIA","PP","15","2","611423","0","0","5","5",-58.22245993,-36.51610013,"Rural Disperso","Rural","1195","2","2",2,"82-2"
"136","PILA","0082PP0017","82","2","PILA","INICIAL Y PRIMARIA","PP","17","2","602749","0","0","3","3",-58.40938513,-35.99767417,"Rural Disperso","Rural","1195","2","2",1,"82-1"
"137","PILA","0082PP0018","82","2","PILA","INICIAL Y PRIMARIA","PP","18","2","602751","0","0","3","3",-58.490487,-36.16588983,"Rural Disperso","Rural","1195","2","2",2,"82-2"
"138","PILA","0082PP0021","82","2","PILA","INICIAL Y PRIMARIA","PP","21","2","602752","0","0","3","3",-58.24438997,-36.14847629,"Rural Disperso","Rural","1195","2","2",1,"82-1"
"139","PILA","0082SC0001","82","2","PILA","INICIAL Y PRIMARIA","SC","1","1","602754","175","0","175","350",-58.34101795,-36.25524502,"Rural Disperso","Rural","1195","2","2",2,"82-2"
"140","PILA","0082DC0701","82","2","PILA","SECUNDARIAS","DC","701","3","602757","13","0","0","13",-58.14204727,-36.0046572,"12","Urbano","1195","2","2",1,"82-1"
"141","PILA","0082MS0001","82","2","PILA","SECUNDARIAS","MS","1","1","608501","100","0","30","130",-58.14386897,-36.00164589,"Urbano","Urbano","1195","2","2",1,"82-1"
"142","PILA","0082MS0002","82","2","PILA","SECUNDARIAS","MS","2","1","608501","0","31","0","31",-58.14386897,-36.00164589,"Urbano","Urbano","1195","2","2",1,"82-1"
"143","PILA","cluster","82","cluster","PILA","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster",-58.186031855,-36.033167970625,"cluster","cluster","cluster","cluster","cluster",1,"82-1"
"144","PILA","cluster","82","cluster","PILA","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster",-58.503272075,-36.2634537,"cluster","cluster","cluster","cluster","cluster",2,"82-2"
"145","TORDILLO","0104JI0901","104","3","TORDILLO","INICIAL Y PRIMARIA","JI","901","3","610888","70","0","70","140",-57.32333236,-36.51846454,"Rural Agrupado","Rural","499","2","2",1,"104-1"
"146","TORDILLO","0104JI0902","104","3","TORDILLO","INICIAL Y PRIMARIA","JI","902","3","610889","12","0","16","28",-57.34146351,-36.46511273,"Rural Disperso","Rural","499","2","2",1,"104-1"
"147","TORDILLO","0104PP0001","104","3","TORDILLO","INICIAL Y PRIMARIA","PP","1","1","610888","45","0","115","160",-57.32333236,-36.51846454,"Rural Agrupado","Rural","499","2","2",1,"104-1"
"148","TORDILLO","0104PP0002","104","3","TORDILLO","INICIAL Y PRIMARIA","PP","2","1","610889","20","0","28","48",-57.34146351,-36.46511273,"Rural Disperso","Rural","499","2","2",1,"104-1"
"149","TORDILLO","0104PP0003","104","3","TORDILLO","INICIAL Y PRIMARIA","PP","3","1","610879","17","0","28","45",-57.32242205,-36.52030245,"Rural Agrupado","Rural","499","2","2",1,"104-1"
"150","TORDILLO","0104PP0004","104","3","TORDILLO","INICIAL Y PRIMARIA","PP","4","1","610880","5","0","7","12",-57.34108596,-36.46493395,"Rural Disperso","Rural","499","2","2",1,"104-1"
"151","TORDILLO","0104PP0006","104","3","TORDILLO","INICIAL Y PRIMARIA","PP","6","1","610881","4","0","6","10",-57.19206581,-36.47114367,"Rural Disperso","Rural","499","2","2",1,"104-1"
"152","TORDILLO","0104PP0007","104","3","TORDILLO","INICIAL Y PRIMARIA","PP","7","1","610882","11","0","15","26",-57.37911747,-36.3038191,"Rural Disperso","Rural","499","2","2",2,"104-2"
"153","TORDILLO","cluster","104","cluster","TORDILLO","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster",-57.3121665085714,-36.4890763728571,"cluster","cluster","cluster","cluster","cluster",1,"104-1"
"154","TORDILLO","cluster","104","cluster","TORDILLO","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster","cluster",-57.37911747,-36.3038191,"cluster","cluster","cluster","cluster","cluster",2,"104-2"
