"","municipio_sae","clave_provincial","municipio_code","number_mun_code","municipio","tipo","rama","escuela","number_escuela","cue","cs","dmclc","dmc","cupo_total","long","lat","ubicacion_cue","zona","cupo","clusters","clusters_2","cluster_asignado_2","muni_cluster"
"29","LAS HERAS","0057JS0002","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","JS","2","1","621351","9","0","9","18",-59.0533388,-34.85022484,"Rural Disperso","Rural","3076","1.62562754004303","2",1,"57-1"
"30","LAS HERAS","0057JS0003","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","JS","3","1","621308","8","0","8","16",-59.10935672,-34.78201784,"Rural Agrupado","Rural","3076","1.62562754004303","2",1,"57-1"
"31","LAS HERAS","0057JS0004","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","JS","4","1","621598","8","0","8","16",-58.99979318,-35.00276239,"Rural Disperso","Rural","3076","1.62562754004303","2",2,"57-2"
"32","LAS HERAS","0057JS0005","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","JS","5","1","621688","9","0","9","18",-58.99105148,-34.88015191,"Rural Disperso","Rural","3076","1.62562754004303","2",1,"57-1"
"33","LAS HERAS","0057JS0006","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","JS","6","1","622122","5","0","5","10",-59.13443706,-34.82250109,"Rural Disperso","Rural","3076","1.62562754004303","2",1,"57-1"
"34","LAS HERAS","0057JS0007","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","JS","7","1","622198","10","0","10","20",-58.88119128,-34.96821864,"Rural Disperso","Rural","3076","1.62562754004303","2",2,"57-2"
"35","LAS HERAS","0057JS0008","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","JS","8","1","623501","0","0","6","6",-59.08161344,-34.87562991,"12","Rural","3076","1.62562754004303","2",1,"57-1"
"36","LAS HERAS","0057PP0001","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","PP","1","1","608729","91","0","480","571",-58.94677474,-34.92591764,"Urbano","Urbano","3076","1.62562754004303","2",2,"57-2"
"37","LAS HERAS","0057PP0002","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","PP","2","1","608291","14","0","14","28",-59.13443706,-34.82250109,"Rural Disperso","Rural","3076","1.62562754004303","2",1,"57-1"
"38","LAS HERAS","0057PP0003","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","PP","3","1","608028","55","0","62","117",-58.9209676,-34.89009688,"Rural Agrupado","Rural","3076","1.62562754004303","2",2,"57-2"
"39","LAS HERAS","0057PP0004","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","PP","4","1","608044","6","0","6","12",-58.91511534,-35.01484412,"Rural Disperso","Rural","3076","1.62562754004303","2",2,"57-2"
"40","LAS HERAS","0057PP0005","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","PP","5","1","608045","12","0","12","24",-58.99965383,-35.00259449,"Rural Disperso","Rural","3076","1.62562754004303","2",2,"57-2"
"41","LAS HERAS","0057PP0006","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","PP","6","1","608043","32","0","32","64",-59.05000203,-34.9416731,"Rural Disperso","Rural","3076","1.62562754004303","2",1,"57-1"
"42","LAS HERAS","0057PP0007","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","PP","7","1","608046","54","0","56","110",-59.02799753,-34.79056964,"Rural Agrupado","Rural","3076","1.62562754004303","2",1,"57-1"
"43","LAS HERAS","0057PP0008","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","PP","8","1","606892","130","0","130","260",-58.94208535,-34.82894763,"Rural Agrupado","Rural","3076","1.62562754004303","2",1,"57-1"
"44","LAS HERAS","0057PP0009","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","PP","9","1","613939","17","0","17","34",-59.10919825,-34.78195485,"Rural Agrupado","Rural","3076","1.62562754004303","2",1,"57-1"
"45","LAS HERAS","0057PP0010","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","PP","10","2","606894","16","0","16","32",-58.88123382,-34.96820029,"Rural Disperso","Rural","3076","1.62562754004303","2",2,"57-2"
"46","LAS HERAS","0057PP0011","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","PP","11","2","606886","109","0","125","234",-58.94128606,-34.92943242,"Urbano","Urbano","3076","1.62562754004303","2",2,"57-2"
"47","LAS HERAS","0057PP0012","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","PP","12","2","606885","10","0","10","20",-58.99134956,-34.88020791,"Rural Disperso","Rural","3076","1.62562754004303","2",1,"57-1"
"48","LAS HERAS","0057PP0013","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","PP","13","2","605869","11","0","11","22",-59.08211295,-34.87549214,"Rural Disperso","Rural","3076","1.62562754004303","2",1,"57-1"
"49","LAS HERAS","0057PP0015","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","PP","15","2","605870","13","0","13","26",-59.05334219,-34.85008609,"Rural Disperso","Rural","3076","1.62562754004303","2",1,"57-1"
"50","LAS HERAS","0057SC0001","57","2","GENERAL LAS HERAS","INICIAL Y PRIMARIA","SC","1","1","618401","90","0","112","202",-58.94171547,-34.92749843,"12","Urbano","3076","1.62562754004303","2",2,"57-2"
