municipio_sae;clave_provincial;municipio_code;number_mun_code;municipio;tipo;rama;escuela;number_escuela;cue;cs;dmclc;dmc;cupo_total;long;lat;ubicacion_cue;zona;cupo;clusters;clusters_2;cluster_asignado_2;muni_cluster;n
LA COSTA;0123JI0918;123;3;DE LA COSTA;INICIAL Y PRIMARIA;JI;1479;3;623306;0;0;120;120;-56.70503;-36.48680;Urbano;Urbano;10528;2.581879034;3;1;123-1;15
LA COSTA;0123JI0919;123;3;DE LA COSTA;INICIAL Y PRIMARIA;JI;1480;3;623507;0;0;190;190;-56.71141;-36.55526;12;Urbano;10528;2.581879034;3;1;123-1;15
LA COSTA;0123PP0001;123;3;DE LA COSTA;INICIAL Y PRIMARIA;PP;1481;1;605475;48;0;351;399;-56.72531;-36.35772;Urbano;Urbano;10528;2.581879034;3;3;123-3;10
LA COSTA;0123PP0002;123;3;DE LA COSTA;INICIAL Y PRIMARIA;PP;1482;1;611882;79;0;178;257;-56.71722;-36.36720;Urbano;Urbano;10528;2.581879034;3;3;123-3;10
LA COSTA;0123PP0003;123;3;DE LA COSTA;INICIAL Y PRIMARIA;PP;1483;1;611879;160;0;365;525;-56.70474;-36.48703;Urbano;Urbano;10528;2.581879034;3;1;123-1;15
LA COSTA;0123PP0004;123;3;DE LA COSTA;INICIAL Y PRIMARIA;PP;1484;1;608263;0;0;389;389;-56.69480;-36.54419;Urbano;Urbano;10528;2.581879034;3;1;123-1;15
LA COSTA;0123PP0005;123;3;DE LA COSTA;INICIAL Y PRIMARIA;PP;1485;1;608267;81;0;411;492;-56.71259;-36.53087;Urbano;Urbano;10528;2.581879034;3;1;123-1;15
LA COSTA;0123PP0006;123;3;DE LA COSTA;INICIAL Y PRIMARIA;PP;1486;1;605427;0;0;483;483;-56.69179;-36.57680;Urbano;Urbano;10528;2.581879034;3;1;123-1;15
LA COSTA;0123PP0007;123;3;DE LA COSTA;INICIAL Y PRIMARIA;PP;1487;1;602476;43;0;396;439;-56.68068;-36.69338;Urbano;Urbano;10528;2.581879034;3;2;123-2;20
LA COSTA;0123PP0008;123;3;DE LA COSTA;INICIAL Y PRIMARIA;PP;1488;1;607887;85;0;250;335;-56.68144;-36.70529;Urbano;Urbano;10528;2.581879034;3;2;123-2;20
LA COSTA;0123PP0009;123;3;DE LA COSTA;INICIAL Y PRIMARIA;PP;1489;1;607772;100;0;475;575;-56.67890;-36.72751;Urbano;Urbano;10528;2.581879034;3;2;123-2;20
LA COSTA;0123PP0010;123;3;DE LA COSTA;INICIAL Y PRIMARIA;PP;1490;2;607675;100;0;318;418;-56.69298;-36.72447;Urbano;Urbano;10528;2.581879034;3;2;123-2;20
LA COSTA;0123PP0011;123;3;DE LA COSTA;INICIAL Y PRIMARIA;PP;1491;2;607888;90;0;164;254;-56.68606;-36.66055;Urbano;Urbano;10528;2.581879034;3;2;123-2;20
LA COSTA;0123PP0012;123;3;DE LA COSTA;INICIAL Y PRIMARIA;PP;1492;2;602092;110;0;260;370;-56.67920;-36.72785;Urbano;Urbano;10528;2.581879034;3;2;123-2;20
LA COSTA;0123PP0014;123;3;DE LA COSTA;INICIAL Y PRIMARIA;PP;1494;2;616846;34;0;34;68;-56.69338;-36.63471;Urbano;Urbano;10528;2.581879034;3;2;123-2;20
LA COSTA;0123PP0015;123;3;DE LA COSTA;INICIAL Y PRIMARIA;PP;1495;2;621778;140;0;140;280;-56.68895;-36.69029;Urbano;Urbano;10528;2.581879034;3;2;123-2;20
LA COSTA;0123MS0008;123;3;DE LA COSTA;SECUNDARIAS;MS;1496;1;616761;116;0;0;116;-56.69650;-36.49348;Urbano;Urbano;10528;2.581879034;3;1;123-1;15
LA COSTA;0123MS0010;123;3;DE LA COSTA;SECUNDARIAS;MS;1497;2;617672;228;0;0;228;-56.68142;-36.70534;Urbano;Urbano;10528;2.581879034;3;2;123-2;20
LA COSTA;0123MT0001;123;3;DE LA COSTA;SECUNDARIAS;MT;1498;1;617673;128;0;0;128;-56.67857;-36.72796;Urbano;Urbano;10528;2.581879034;3;2;123-2;20
LA COSTA;0123MT0002;123;3;DE LA COSTA;SECUNDARIAS;MT;1499;1;608264;119;0;0;119;-56.71239;-36.53072;Urbano;Urbano;10528;2.581879034;3;1;123-1;15
LA COSTA;cluster;123;cluster;DE LA COSTA;cluster;cluster;1500;cluster;cluster;cluster;cluster;cluster;cluster;-56.70341;-36.53227;cluster;cluster;cluster;cluster;cluster;1;123-1;cluster
LA COSTA;cluster;123;cluster;DE LA COSTA;cluster;cluster;1501;cluster;cluster;cluster;cluster;cluster;cluster;-56.68530;-36.70068;cluster;cluster;cluster;cluster;cluster;2;123-2;cluster
LA COSTA;cluster;123;cluster;DE LA COSTA;cluster;cluster;1502;cluster;cluster;cluster;cluster;cluster;cluster;-56.72530;-36.36417;cluster;cluster;cluster;cluster;cluster;3;123-3;cluster
DOLORES;0029EE0501;29;2;DOLORES;INICIAL Y PRIMARIA;EE;1503;3;607781;60;0;60;120;-57.67903;-36.32064;Urbano;Urbano;3745;1.769065264;2;1;29-1;5
DOLORES;0029JI0901;29;2;DOLORES;INICIAL Y PRIMARIA;JI;1504;3;602012;0;0;105;105;-57.67681;-36.31389;Urbano;Urbano;3745;1.769065264;2;2;29-2;9
DOLORES;0029JI0902;29;2;DOLORES;INICIAL Y PRIMARIA;JI;1505;3;602011;0;0;105;105;-57.68313;-36.30337;Urbano;Urbano;3745;1.769065264;2;2;29-2;9
DOLORES;0029JI0903;29;2;DOLORES;INICIAL Y PRIMARIA;JI;1506;3;607778;0;0;125;125;-57.68160;-36.31206;Urbano;Urbano;3745;1.769065264;2;2;29-2;9
DOLORES;0029JI0905;29;2;DOLORES;INICIAL Y PRIMARIA;JI;1507;3;607777;0;0;134;134;-57.66644;-36.31585;Urbano;Urbano;3745;1.769065264;2;2;29-2;9
DOLORES;0029JI0906;29;2;DOLORES;INICIAL Y PRIMARIA;JI;1508;3;607776;0;0;125;125;-57.69374;-36.31676;Urbano;Urbano;3745;1.769065264;2;1;29-1;5
DOLORES;0029PP0001;29;2;DOLORES;INICIAL Y PRIMARIA;PP;1509;1;608279;0;0;300;300;-57.67846;-36.31638;Urbano;Urbano;3745;1.769065264;2;2;29-2;9
DOLORES;0029PP0004;29;2;DOLORES;INICIAL Y PRIMARIA;PP;1510;1;602494;50;0;180;230;-57.68622;-36.31643;Urbano;Urbano;3745;1.769065264;2;1;29-1;5
DOLORES;0029PP0005;29;2;DOLORES;INICIAL Y PRIMARIA;PP;1511;1;608278;120;0;120;240;-57.67760;-36.32518;Urbano;Urbano;3745;1.769065264;2;1;29-1;5
DOLORES;0029PP0007;29;2;DOLORES;INICIAL Y PRIMARIA;PP;1512;1;602508;125;0;125;250;-57.68420;-36.30467;Urbano;Urbano;3745;1.769065264;2;2;29-2;9
DOLORES;0029PP0010;29;2;DOLORES;INICIAL Y PRIMARIA;PP;1513;2;602507;128;0;128;256;-57.67767;-36.31122;Urbano;Urbano;3745;1.769065264;2;2;29-2;9
DOLORES;0029PP0015;29;2;DOLORES;INICIAL Y PRIMARIA;PP;1514;2;602504;57;0;66;123;-57.66465;-36.31308;Urbano;Urbano;3745;1.769065264;2;2;29-2;9
DOLORES;0029PP0030;29;2;DOLORES;INICIAL Y PRIMARIA;PP;1515;2;602496;0;0;210;210;-57.67420;-36.31258;Urbano;Urbano;3745;1.769065264;2;2;29-2;9
DOLORES;0029MT0001;29;2;DOLORES;SECUNDARIAS;MT;1516;1;602493;150;90;0;240;-57.68478;-36.31472;Urbano;Urbano;3745;1.769065264;2;1;29-1;5
DOLORES;cluster;29;cluster;DOLORES;cluster;cluster;1517;cluster;cluster;cluster;cluster;cluster;cluster;-57.68427;-36.31875;cluster;cluster;cluster;cluster;cluster;1;29-1;cluster
DOLORES;cluster;29;cluster;DOLORES;cluster;cluster;1518;cluster;cluster;cluster;cluster;cluster;cluster;-57.67635;-36.31146;cluster;cluster;cluster;cluster;cluster;2;29-2;cluster
ENSENADA;0114EE0501;114;3;ENSENADA;INICIAL Y PRIMARIA;EE;1519;3;607124;85;0;130;215;-57.91006;-34.85462;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114JI0901;114;3;ENSENADA;INICIAL Y PRIMARIA;JI;1520;3;601434;0;0;237;237;-57.91356;-34.85451;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114JI0902;114;3;ENSENADA;INICIAL Y PRIMARIA;JI;1521;3;601427;0;0;219;219;-57.90677;-34.86483;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114JI0903;114;3;ENSENADA;INICIAL Y PRIMARIA;JI;1522;3;610261;0;0;149;149;-57.93546;-34.89572;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114JI0904;114;3;ENSENADA;INICIAL Y PRIMARIA;JI;1523;3;610260;120;0;146;266;-57.95570;-34.88410;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114JI0905;114;3;ENSENADA;INICIAL Y PRIMARIA;JI;1524;3;603932;248;0;304;552;-57.97796;-34.81411;Urbano;Urbano;10859;2.151565862;2;2;114-2;6
ENSENADA;0114JI0906;114;3;ENSENADA;INICIAL Y PRIMARIA;JI;1525;3;601428;0;0;190;190;-57.90115;-34.86104;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114JI0907;114;3;ENSENADA;INICIAL Y PRIMARIA;JI;1526;3;607130;170;0;289;459;-57.92211;-34.85517;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114JI0908;114;3;ENSENADA;INICIAL Y PRIMARIA;JI;1527;3;607116;100;0;124;224;-57.91538;-34.87711;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114JI0909;114;3;ENSENADA;INICIAL Y PRIMARIA;JI;1528;3;607125;80;0;156;236;-57.89635;-34.85817;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114JI0910;114;3;ENSENADA;INICIAL Y PRIMARIA;JI;1529;3;607127;230;0;278;508;-57.91557;-34.86647;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114JI0911;114;3;ENSENADA;INICIAL Y PRIMARIA;JI;1530;3;601433;115;0;164;279;-57.91768;-34.85846;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114JI0912;114;3;ENSENADA;INICIAL Y PRIMARIA;JI;1531;3;617076;120;0;120;240;-57.94411;-34.83765;Urbano;Urbano;10859;2.151565862;2;2;114-2;6
ENSENADA;0114PP0001;114;3;ENSENADA;INICIAL Y PRIMARIA;PP;1532;1;607123;0;0;696;696;-57.90827;-34.85794;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114PP0002;114;3;ENSENADA;INICIAL Y PRIMARIA;PP;1533;1;601425;0;0;400;400;-57.90024;-34.86482;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114PP0003;114;3;ENSENADA;INICIAL Y PRIMARIA;PP;1534;1;607121;0;0;501;501;-57.91322;-34.85472;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114PP0004;114;3;ENSENADA;INICIAL Y PRIMARIA;PP;1535;1;611921;93;0;98;191;-57.91131;-34.87006;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114PP0005;114;3;ENSENADA;INICIAL Y PRIMARIA;PP;1536;1;610262;0;0;233;233;-57.93582;-34.89560;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114PP0006;114;3;ENSENADA;INICIAL Y PRIMARIA;PP;1537;1;610259;240;0;460;700;-57.97755;-34.81469;Urbano;Urbano;10859;2.151565862;2;2;114-2;6
ENSENADA;0114PP0007;114;3;ENSENADA;INICIAL Y PRIMARIA;PP;1538;1;603457;220;0;230;450;-57.94333;-34.83819;Urbano;Urbano;10859;2.151565862;2;2;114-2;6
ENSENADA;0114PP0009;114;3;ENSENADA;INICIAL Y PRIMARIA;PP;1539;1;607118;110;0;200;310;-57.92242;-34.85548;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114PP0010;114;3;ENSENADA;INICIAL Y PRIMARIA;PP;1540;2;607117;85;0;160;245;-57.91789;-34.86406;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114PP0011;114;3;ENSENADA;INICIAL Y PRIMARIA;PP;1541;2;607129;110;0;192;302;-57.91911;-34.85959;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114PP0013;114;3;ENSENADA;INICIAL Y PRIMARIA;PP;1542;2;605468;109;0;109;218;-57.91523;-34.87708;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114PP0014;114;3;ENSENADA;INICIAL Y PRIMARIA;PP;1543;2;610263;60;0;66;126;-57.94294;-34.88964;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114PP0015;114;3;ENSENADA;INICIAL Y PRIMARIA;PP;1544;2;607119;73;0;73;146;-57.89601;-34.85864;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114PP0016;114;3;ENSENADA;INICIAL Y PRIMARIA;PP;1545;2;603933;110;0;110;220;-57.95577;-34.88455;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114SC0001;114;3;ENSENADA;INICIAL Y PRIMARIA;SC;1546;1;616611;70;0;70;140;-57.91052;-34.85685;12;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114SC0002;114;3;ENSENADA;INICIAL Y PRIMARIA;SC;1547;1;616612;206;0;206;412;-57.94366;-34.88737;12;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114SC0003;114;3;ENSENADA;INICIAL Y PRIMARIA;SC;1548;1;616613;70;0;70;140;-57.92873;-34.84896;12;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114DE0701;114;3;ENSENADA;SECUNDARIAS;DE;1549;3;607115;34;0;0;34;-57.92230;-34.85552;12;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114MS0002;114;3;ENSENADA;SECUNDARIAS;MS;1550;1;610258;247;0;0;247;-57.97868;-34.81399;Urbano;Urbano;10859;2.151565862;2;2;114-2;6
ENSENADA;0114MS0004;114;3;ENSENADA;SECUNDARIAS;MS;1551;1;618493;147;0;0;147;-57.93575;-34.89554;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114MS0005;114;3;ENSENADA;SECUNDARIAS;MS;1552;1;617842;0;32;0;32;-57.91541;-34.87698;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114MS0006;114;3;ENSENADA;SECUNDARIAS;MS;1553;1;617841;0;67;0;67;-57.91754;-34.86356;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114MS0007;114;3;ENSENADA;SECUNDARIAS;MS;1554;1;617840;0;76;0;76;-57.94313;-34.83827;Urbano;Urbano;10859;2.151565862;2;2;114-2;6
ENSENADA;0114MS0008;114;3;ENSENADA;SECUNDARIAS;MS;1555;1;617297;170;0;0;170;-57.9082;-34.85788;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114MS0009;114;3;ENSENADA;SECUNDARIAS;MS;1556;1;617261;0;124;0;124;-57.90016;-34.86486;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114MT0001;114;3;ENSENADA;SECUNDARIAS;MT;1557;1;607122;0;90;0;90;-57.91428;-34.86001;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;0114MT0002;114;3;ENSENADA;SECUNDARIAS;MT;1558;1;610272;0;220;0;220;-57.91044;-34.86992;Urbano;Urbano;10859;2.151565862;2;1;114-1;34
ENSENADA;cluster;114;cluster;ENSENADA;cluster;cluster;1559;cluster;cluster;cluster;cluster;cluster;cluster;-57.91868;-34.86764;cluster;cluster;cluster;cluster;cluster;1;114-1;cluster
ENSENADA;cluster;114;cluster;ENSENADA;cluster;cluster;1560;cluster;cluster;cluster;cluster;cluster;cluster;-57.96079;-34.82615;cluster;cluster;cluster;cluster;cluster;2;114-2;cluster
ESCOBAR;0116EE0501;116;3;ESCOBAR;INICIAL Y PRIMARIA;EE;1561;3;604195;12;0;16;28;-58.79849;-34.34738;Urbano;Urbano;25540;7;7;4;116-4;22
ESCOBAR;0116EE0502;116;3;ESCOBAR;INICIAL Y PRIMARIA;EE;1562;3;603836;55;0;55;110;-58.78173;-34.39626;Urbano;Urbano;25540;7;7;7;116-7;12
ESCOBAR;0116EE0503;116;3;ESCOBAR;INICIAL Y PRIMARIA;EE;1563;3;622001;60;0;60;120;-58.73035;-34.42097;Urbano;Urbano;25540;7;7;5;116-5;21
ESCOBAR;0116JI0901;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1564;3;601408;0;0;289;289;-58.79387;-34.34228;Urbano;Urbano;25540;7;7;4;116-4;22
ESCOBAR;0116JI0902;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1565;3;601412;0;0;69;69;-58.76061;-34.32555;Urbano;Urbano;25540;7;7;1;116-1;10
ESCOBAR;0116JI0903;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1566;3;610960;0;0;229;229;-58.73628;-34.38863;Urbano;Urbano;25540;7;7;2;116-2;14
ESCOBAR;0116JI0904;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1567;3;601505;0;0;159;159;-58.72883;-34.41738;Urbano;Urbano;25540;7;7;5;116-5;21
ESCOBAR;0116JI0905;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1568;3;610958;0;0;159;159;-58.74658;-34.39147;Urbano;Urbano;25540;7;7;2;116-2;14
ESCOBAR;0116JI0906;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1569;3;603843;0;0;239;239;-58.73640;-34.45399;Urbano;Urbano;25540;7;7;6;116-6;8
ESCOBAR;0116JI0908;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1570;3;601409;0;0;129;129;-58.77989;-34.32992;Urbano;Urbano;25540;7;7;1;116-1;10
ESCOBAR;0116JI0909;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1571;3;601503;0;0;229;229;-58.73546;-34.40653;Urbano;Urbano;25540;7;7;5;116-5;21
ESCOBAR;0116JI0910;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1572;3;610163;0;0;135;135;-58.81287;-34.37903;Urbano;Urbano;25540;7;7;3;116-3;10
ESCOBAR;0116JI0911;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1573;3;601504;0;0;229;229;-58.74383;-34.40921;Urbano;Urbano;25540;7;7;5;116-5;21
ESCOBAR;0116JI0913;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1575;3;610660;0;0;185;185;-58.80592;-34.35497;Urbano;Urbano;25540;7;7;4;116-4;22
ESCOBAR;0116JI0914;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1576;3;613916;0;0;169;169;-58.77551;-34.39802;Urbano;Urbano;25540;7;7;7;116-7;12
ESCOBAR;0116JI0915;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1577;3;613917;0;0;74;74;-58.73476;-34.37877;Urbano;Urbano;25540;7;7;2;116-2;14
ESCOBAR;0116JI0916;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1578;3;613918;57;0;199;256;-58.75119;-34.43449;Urbano;Urbano;25540;7;7;5;116-5;21
ESCOBAR;0116JI0917;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1579;3;613919;0;0;235;235;-58.82735;-34.37979;Urbano;Urbano;25540;7;7;3;116-3;10
ESCOBAR;0116JI0918;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1580;3;615391;38;0;125;163;-58.76127;-34.36795;Urbano;Urbano;25540;7;7;2;116-2;14
ESCOBAR;0116JI0919;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1581;3;615395;0;0;169;169;-58.78624;-34.33058;Urbano;Urbano;25540;7;7;1;116-1;10
ESCOBAR;0116JI0920;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1582;3;615654;0;0;250;250;-58.72208;-34.43895;Urbano;Urbano;25540;7;7;6;116-6;8
ESCOBAR;0116JI0921;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1583;3;616457;0;0;212;212;-58.84796;-34.32448;Urbano;Urbano;25540;7;7;4;116-4;22
ESCOBAR;0116JI0922;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1584;3;616963;0;0;119;119;-58.74753;-34.43188;Urbano;Urbano;25540;7;7;5;116-5;21
ESCOBAR;0116JI0923;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1585;3;618410;0;0;135;135;-58.83585;-34.38425;Urbano;Urbano;25540;7;7;3;116-3;10
ESCOBAR;0116JI0924;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1586;3;620073;0;0;175;175;-58.79863;-34.33815;Urbano;Urbano;25540;7;7;4;116-4;22
ESCOBAR;0116JI0925;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1587;3;620965;0;0;212;212;-58.75277;-34.41977;Urbano;Urbano;25540;7;7;5;116-5;21
ESCOBAR;0116JI0926;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1588;3;621754;0;0;79;79;-58.73052;-34.44977;Urbano;Urbano;25540;7;7;6;116-6;8
ESCOBAR;0116JI0927;116;3;ESCOBAR;INICIAL Y PRIMARIA;JI;1589;3;622871;0;0;165;165;-58.74673;-34.39607;Urbano;Urbano;25540;7;7;2;116-2;14
ESCOBAR;0116PP0001;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1592;1;610653;0;0;480;480;-58.79682;-34.35393;Urbano;Urbano;25540;7;7;4;116-4;22
ESCOBAR;0116PP0002;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1593;1;601403;0;0;490;490;-58.79391;-34.34430;Urbano;Urbano;25540;7;7;4;116-4;22
ESCOBAR;0116PP0003;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1594;1;610655;97;0;280;377;-58.85073;-34.32242;Urbano;Urbano;25540;7;7;4;116-4;22
ESCOBAR;0116PP0004;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1595;1;607097;120;0;260;380;-58.78569;-34.34847;Urbano;Urbano;25540;7;7;4;116-4;22
ESCOBAR;0116PP0005;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1596;1;607213;0;0;490;490;-58.73079;-34.42007;Urbano;Urbano;25540;7;7;5;116-5;21
ESCOBAR;0116PP0006;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1597;1;610164;0;0;400;400;-58.82716;-34.38498;Urbano;Urbano;25540;7;7;3;116-3;10
ESCOBAR;0116PP0007;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1598;1;601413;75;0;540;615;-58.76490;-34.32077;Urbano;Urbano;25540;7;7;1;116-1;10
ESCOBAR;0116PP0009;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1599;1;610167;100;0;490;590;-58.73652;-34.45380;Urbano;Urbano;25540;7;7;6;116-6;8
ESCOBAR;0116PP0011;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1601;2;601414;130;0;150;280;-58.77031;-34.28832;Urbano;Urbano;25540;7;7;1;116-1;10
ESCOBAR;0116PP0012;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1602;2;610961;200;0;290;490;-58.75381;-34.39559;Urbano;Urbano;25540;7;7;2;116-2;14
ESCOBAR;0116PP0013;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1603;2;610956;0;0;490;490;-58.74527;-34.38528;Urbano;Urbano;25540;7;7;2;116-2;14
ESCOBAR;0116PP0014;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1604;2;610658;0;0;320;320;-58.80059;-34.34738;Urbano;Urbano;25540;7;7;4;116-4;22
ESCOBAR;0116PP0015;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1605;2;607101;100;0;386;486;-58.78290;-34.33367;Urbano;Urbano;25540;7;7;1;116-1;10
ESCOBAR;0116PP0016;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1606;2;610654;100;0;460;560;-58.80458;-34.35708;Urbano;Urbano;25540;7;7;4;116-4;22
ESCOBAR;0116PP0017;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1607;2;610165;160;0;440;600;-58.81270;-34.37892;Urbano;Urbano;25540;7;7;3;116-3;10
ESCOBAR;0116PP0018;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1608;2;607214;98;0;490;588;-58.73524;-34.41362;Urbano;Urbano;25540;7;7;5;116-5;21
ESCOBAR;0116PP0019;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1609;2;601508;110;0;400;510;-58.73865;-34.43003;Urbano;Urbano;25540;7;7;5;116-5;21
ESCOBAR;0116PP0020;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1610;2;601909;110;0;230;340;-58.80679;-34.33833;Urbano;Urbano;25540;7;7;4;116-4;22
ESCOBAR;0116PP0021;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1611;2;610191;210;0;516;726;-58.77716;-34.39990;Urbano;Urbano;25540;7;7;7;116-7;12
ESCOBAR;0116PP0023;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1612;2;610161;175;0;580;755;-58.76768;-34.41487;Urbano;Urbano;25540;7;7;7;116-7;12
ESCOBAR;0116PP0024;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1613;2;603841;130;0;326;456;-58.72408;-34.43501;Urbano;Urbano;25540;7;7;6;116-6;8
ESCOBAR;0116PP0025;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1614;2;610159;155;0;496;651;-58.77168;-34.39957;Urbano;Urbano;25540;7;7;7;116-7;12
ESCOBAR;0116PP0026;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1615;2;610166;0;0;380;380;-58.82443;-34.38838;Urbano;Urbano;25540;7;7;3;116-3;10
ESCOBAR;0116PP0027;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1616;2;607215;0;0;540;540;-58.74299;-34.40957;Urbano;Urbano;25540;7;7;5;116-5;21
ESCOBAR;0116PP0028;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1617;2;610657;120;0;294;414;-58.81362;-34.35519;Urbano;Urbano;25540;7;7;4;116-4;22
ESCOBAR;0116PP0029;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1618;2;601406;130;0;150;280;-58.76160;-34.36738;Urbano;Urbano;25540;7;7;2;116-2;14
ESCOBAR;0116PP0030;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1619;2;613189;150;0;390;540;-58.75209;-34.43495;Urbano;Urbano;25540;7;7;5;116-5;21
ESCOBAR;0116PP0031;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1620;2;613190;270;0;274;544;-58.76945;-34.39480;Urbano;Urbano;25540;7;7;7;116-7;12
ESCOBAR;0116PP0032;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1621;2;613191;70;0;300;370;-58.74747;-34.39032;Urbano;Urbano;25540;7;7;2;116-2;14
ESCOBAR;0116PP0033;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1622;2;613192;60;0;80;140;-58.81369;-34.36630;Urbano;Urbano;25540;7;7;3;116-3;10
ESCOBAR;0116PP0034;116;3;ESCOBAR;INICIAL Y PRIMARIA;PP;1623;2;613193;110;0;194;304;-58.73491;-34.37827;Urbano;Urbano;25540;7;7;2;116-2;14
