municipio_sae;clave_provincial;municipio_code;number_mun_code;municipio;tipo;rama;escuela;number_escuela;cue;cs;dmclc;dmc;cupo_total;long;lat;ubicacion_cue;zona;cupo;clusters;clusters_2;cluster_asignado_2;muni_cluster;n
A BROWN;0004EE0501;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;EE;32;3;601899;73;0;5;78;-58.39424;-34.80846;Urbano;Urbano;88622;12;12;3;4-3;27
A BROWN;0004EE0503;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;EE;34;3;608067;374;0;580;954;-58.37705;-34.88954;Urbano;Urbano;88622;12;12;1;4-1;30
A BROWN;0004EE0505;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;EE;35;3;612557;225;0;229;454;-58.35226;-34.79294;Urbano;Urbano;88622;12;12;7;4-7;12
A BROWN;0004EE0506;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;EE;36;3;601672;215;0;430;645;-58.35415;-34.78225;Urbano;Urbano;88622;12;12;6;4-6;10
A BROWN;0004EE0507;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;EE;37;3;601556;180;0;264;444;-58.38518;-34.81203;Urbano;Urbano;88622;12;12;3;4-3;27
A BROWN;0004EE0508;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;EE;38;3;607287;100;0;308;408;-58.38566;-34.81237;Urbano;Urbano;88622;12;12;3;4-3;27
A BROWN;0004EE0509;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;EE;39;3;616713;53;0;172;225;-58.41753;-34.81593;Urbano;Urbano;88622;12;12;12;4-12;27
A BROWN;0004EL0001;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;EL;40;1;614995;0;0;203;203;-58.37761;-34.79974;Urbano;Urbano;88622;12;12;3;4-3;27
A BROWN;0004ET0001;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;ET;41;1;621772;130;0;0;130;-58.35246;-34.79305;Urbano;Urbano;88622;12;12;7;4-7;12
A BROWN;0004JI0901;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;42;3;607596;0;0;278;278;-58.38726;-34.79661;Urbano;Urbano;88622;12;12;3;4-3;27
A BROWN;0004JI0902;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;43;3;600784;0;0;205;205;-58.40372;-34.79654;Urbano;Urbano;88622;12;12;3;4-3;27
A BROWN;0004JI0903;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;44;3;610854;0;0;146;146;-58.38397;-34.86099;Urbano;Urbano;88622;12;12;10;4-10;25
A BROWN;0004JI0904;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;45;3;601557;0;0;254;254;-58.39335;-34.88098;Urbano;Urbano;88622;12;12;1;4-1;30
A BROWN;0004JI0905;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;46;3;601817;0;0;254;254;-58.36416;-34.78476;Urbano;Urbano;88622;12;12;6;4-6;10
A BROWN;0004JI0906;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;47;3;600799;0;0;190;190;-58.39478;-34.80784;Urbano;Urbano;88622;12;12;3;4-3;27
A BROWN;0004JI0907;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;48;3;601717;0;0;179;179;-58.39119;-34.81476;Urbano;Urbano;88622;12;12;3;4-3;27
A BROWN;0004JI0908;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;49;3;600828;0;0;150;150;-58.39430;-34.79236;Urbano;Urbano;88622;12;12;3;4-3;27
A BROWN;0004JI0909;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;50;3;606701;67;0;258;325;-58.39637;-34.89675;Urbano;Urbano;88622;12;12;1;4-1;30
A BROWN;0004JI0910;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;51;3;601350;0;0;206;206;-58.37661;-34.88765;Urbano;Urbano;88622;12;12;1;4-1;30
A BROWN;0004JI0911;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;52;3;606999;0;0;212;212;-58.34938;-34.81640;Urbano;Urbano;88622;12;12;11;4-11;24
A BROWN;0004JI0912;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;53;3;606491;0;0;202;202;-58.36887;-34.80958;Urbano;Urbano;88622;12;12;8;4-8;20
A BROWN;0004JI0913;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;54;3;601383;0;0;205;205;-58.34613;-34.81932;Urbano;Urbano;88622;12;12;11;4-11;24
