municipio_sae;clave_provincial;municipio_code;number_mun_code;municipio;tipo;rama;escuela;number_escuela;cue;cs;dmclc;dmc;cupo_total;long;lat;ubicacion_cue;zona
A ALSINA;0002PP0041;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;41;2;602287;0;0;112;112;-63.24758667;-37.16392389;Urbano                        ;Urbano
A ALSINA;0002PP0044;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;44;2;602289;0;0;9;9;-63.2571988;-37.45432596;Rural Agrupado;Rural
A ALSINA;0002PP0045;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;PP;45;2;621219;65;0;69;134;-62.7706686;-37.18683309;Urbano                        ;Urbano
A ALSINA;0002SC0001;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;SC;1;1;616999;172;0;213;385;-63.2467354;-37.16278504;12;Urbano
A ALSINA;0002SC0002;2;1;ADOLFO ALSINA;INICIAL Y PRIMARIA;SC;2;1;622952;129;0;129;258;-63.33625336;-36.80076132;12;Urbano
A BROWN;0004EE0501;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;EE;501;3;601899;73;0;5;78;-58.3942476;-34.80846204;Urbano                        ;Urbano
A BROWN;0004EE0502;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;EE;502;3;607610;152;0;340;492;-58.3978748;-34.79855326;Urbano                        ;Urbano
A BROWN;0004EE0503;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;EE;503;3;608067;374;0;580;954;-58.37705668;-34.889542;Urbano                        ;Urbano
A BROWN;0004EE0505;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;EE;505;3;612557;225;0;229;454;-58.35226779;-34.79294673;Urbano                        ;Urbano
A BROWN;0004EE0506;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;EE;506;3;601672;215;0;430;645;-58.35415528;-34.78225352;Urbano                        ;Urbano
A BROWN;0004EE0507;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;EE;507;3;601556;180;0;264;444;-58.38518538;-34.81203878;Urbano                        ;Urbano
A BROWN;0004EE0508;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;EE;508;3;607287;100;0;308;408;-58.38566305;-34.8123764;Urbano                        ;Urbano
A BROWN;0004EE0509;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;EE;509;3;616713;53;0;172;225;-58.41753971;-34.81593304;Urbano                        ;Urbano
A BROWN;0004EL0001;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;EL;1;1;614995;0;0;203;203;-58.37761832;-34.79974885;Urbano                        ;Urbano
A BROWN;0004ET0001;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;ET;1;1;621772;130;0;0;130;-58.35246793;-34.79305823;Urbano                        ;Urbano
A BROWN;0004JI0901;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;901;3;607596;0;0;278;278;-58.38726353;-34.79661724;Urbano                        ;Urbano
A BROWN;0004JI0902;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;902;3;600784;0;0;205;205;-58.40372084;-34.79654291;Urbano                        ;Urbano
A BROWN;0004JI0903;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;903;3;610854;0;0;146;146;-58.3839707;-34.86099777;Urbano                        ;Urbano
A BROWN;0004JI0904;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;904;3;601557;0;0;254;254;-58.39335941;-34.88098959;Urbano                        ;Urbano
A BROWN;0004JI0905;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;905;3;601817;0;0;254;254;-58.36416687;-34.78476412;Urbano                        ;Urbano
A BROWN;0004JI0906;4;1;ALMIRANTE BROWN;INICIAL Y PRIMARIA;JI;906;3;600799;0;0;190;190;-58.39478516;-34.80784093;Urbano                        ;Urbano
